Business_ID,Cuisine,Rating,Num_of_Reviews,Recommended
H87c1gVVCKneyI0LxaDFxQ,chinese,5.0,5.0,1
0CXOlOPhQSSg3lSs27GOTA,chinese,5.0,5.0,1
7VciT24JTq32X7BNLO7EJQ,chinese,5.0,5.0,1
2jHud9AFiBYLrPlmz0UyqA,indian,5.0,5.0,1
g2LFwlFjAd9RdGC3zxwkYQ,mexican,5.0,5.0,1
wAodpZGSqN8o9337E3Vikg,american,5.0,5.0,1
YE2FPm9o32ojTG2_1pJBYw,chinese,5.0,4.0,1
xVduej7-JiPrZzsFXIkIDw,chinese,5.0,4.0,1
LWp9J-jrHw9v-qyFgAYfyw,chinese,5.0,4.0,1
WYdrEMBXzOcxffpQczHKww,italian,5.0,4.0,1
TXjvmpAl7otZcuk_7hYZ2g,indian,5.0,4.0,1
vSiY8dfgvx8f3xO1HunYUA,indian,5.0,4.0,1
rHDfGuLVfI6WO4kyFIDwRw,chinese,1.0,1.0,0
dgz6m-9WZhahheWVguwfBw,indian,2.0,1.0,0
Hu-HQXpW1Dj0FxGsU8iLkA,indian,1.0,1.0,0
2wkDxFATkqvhAojWtRdrQg,indian,1.0,1.0,0
e_Ee9lzCrTTjghDepvbM9Q,indian,2.0,1.0,0
9MO5UogFuvqAriOA9RlqKA,indian,2.0,1.0,0
vakXD04_SQRt6gPKZJlHAw,indian,1.0,1.0,0
-tI3uIKZVLc2YXWUdYWgjQ,indian,1.0,1.0,0
UTsBON3O7wIKWupchuhRug,indian,1.0,1.0,0
-pSJz5dQAfl7xueK_kvU0w,indian,2.0,1.0,0
z-0XNRNvLK1-UOPLakh4HQ,indian,2.0,1.0,0
ix1GGoQL_n2OGhMoMW2mzA,indian,2.0,1.0,0
-EqXs-q_JXzTHIGXZae2kg,mexican,2.0,1.0,0
oderonBBmlgw-Wd_KsQ6LA,american,1.0,1.0,0
OE93VxEkQSRQDJkIHNmqJQ,sushi,2.0,1.0,0
shNn0uGXQBD7wEIhbtzeIg,indian,2.5,2.0,0
F3mRjSCTKlA1qj7OiRikiQ,indian,2.5,2.0,0
EJPqwdHlr6smIgI5SFP6vg,indian,2.5,2.0,0
85123ck6ZQF5-4rTQbDHjA,indian,1.0,2.0,0
vHHVrNOhGDCbqzpYgKcUYw,indian,2.0,2.0,0
oUfTF9uBy6MyKiONbgkilw,indian,2.5,2.0,0
ue0fYo62ucnaAL6spAqSiw,indian,1.0,2.0,0
GgVSxkEzFRyAorxuODA1tQ,indian,1.0,2.0,0
6UwcLc6NJo45Hb5aIlbX5w,mexican,2.5,2.0,0
mL43TXtc0WlFCfhlN0ziHQ,chinese,2.5,3.0,0
WBJLoLeRSSzRDrzOv5IRng,indian,2.5,3.0,0
hgoT9kFq-6YtQ1C1z6FK0A,indian,1.0,3.0,0
VyP6C-L9405boyQqWTN_mg,indian,1.0,3.0,0
RTES6LV41eqN3mfjkqASGw,indian,1.0,3.0,0
PmQAKivnCUIC8eHA9vYsZA,indian,2.5,3.0,0
fip6hPEumzmUu6XZn2r_Mg,american,2.5,3.0,0
i9EgpwRQVS8kEcgbyEzOeQ,indian,2.0,4.0,0
j7fFfjr8rIqXjfEJ4FUs2g,indian,2.5,4.0,0
LpQIn07liSugCw3IIQNyvA,indian,2.0,4.0,0
CK1DFE8o2Iuk_csJZ2V1jQ,indian,2.5,4.0,0
0eRir9RUGAnfKov68kvKVA,indian,1.5,4.0,0
QzPaA7e4O7iabpwr99pmiQ,indian,2.0,4.0,0
SG99Hk4-PShkVP8eEBx4EA,chinese,2.0,5.0,0
Q3q5ODGrzCGjTUKaFEWJkw,indian,1.5,5.0,0
p0aDcwnhhjnAfn67tEFesg,indian,1.5,5.0,0
0nPCpOj_okwdhrNcSL-Ztw,indian,2.5,5.0,0
iiwV70LVeKi9_ZTlCFhfZg,indian,2.5,5.0,0
WI5kC9Ba8QClXq_mslg07A,indian,2.5,7.0,0
YTjUhZh-5IaNsTvzHsOUQQ,chinese,2.5,8.0,0
sUVRmTS3gwZtdDbjA5TPpA,indian,2.0,8.0,0
hlbihpX8g_mL5A2Wjj8unw,indian,2.5,8.0,0
b7cwwjX2vT0v-xc2mySYgw,indian,2.5,8.0,0
aQ3ItY2EtY8N1ass90goRQ,chinese,2.5,9.0,0
-DT3bduqJca_u3DGDarUkw,indian,2.5,9.0,0
jHd7KHMvpI53bZyL9UGTug,mexican,2.5,9.0,0
H7jcYql9RIfIzIYIlWbdRg,chinese,2.5,10.0,0
eXrk95smyEBBIOJigCvo7Q,indian,2.5,11.0,0
XwJwqa89PK-xPSiEXAs_6g,indian,1.5,11.0,0
WCzh8JOXq1xFrOhizQKCEw,indian,2.5,11.0,0
ZLOu3e4bQm6sXplI3b_94A,indian,2.5,12.0,0
rUWb_btpfFls-D05femodw,american,2.0,12.0,0
_oB3M47mlg3dJGKKIYkRIA,indian,2.5,13.0,0
YuBLRUuQ7J9rGZzrC91Qmg,mexican,2.5,13.0,0
zt1CkOXxAjMqlompybpTmg,sushi,2.0,13.0,0
QsujlS_gBXtR6SQjWl02Ew,indian,2.5,14.0,0
F45gH5oEHbuptyHLRV8ZWw,indian,2.5,14.0,0
AxYFGu841V9vMk25rjfc1g,indian,2.5,14.0,0
0dQ0z5qAqg9CmMmbEDs7rg,indian,2.5,15.0,0
bDJbAgx0BryEphz-TYycTw,mexican,2.5,15.0,0
1Xd1aEnhZk61aid3sRzUSw,mexican,2.5,16.0,0
XEN8cu1woUXfadkWBoxjRQ,indian,2.5,17.0,0
EPssbCqoPTIFzZf860lRFQ,chinese,2.5,18.0,0
8mNN98-kejLAJLR9p7_mvQ,indian,2.0,18.0,0
utbWLB3zYR1o__iDI9-Xgg,indian,2.5,18.0,0
clRkIWrwyNVpcZdhrYVB5g,indian,2.5,19.0,0
oyRcOkU1wvznOfQ_Wp3IzQ,indian,2.5,20.0,0
pB_eYQKqczE--IOyGq_PVg,chinese,2.5,21.0,0
-K9aoYpCy5_99gojar4nWg,indian,2.5,22.0,0
nKcyBE_1b8Pz2aEI5BW7QQ,indian,2.0,22.0,0
GFu9tYQD3y8HhSJ6tG4rYQ,indian,2.5,23.0,0
jf3OvEnL0GZuxOV4-SR3uQ,indian,2.5,23.0,0
ZshusrRIXhvyT5GMShPCAw,indian,2.5,24.0,0
nheeck4r4nNKK6_YZuueOg,sushi,2.5,24.0,0
l5C_XHvTZihVzPKgclRZqg,chinese,2.5,29.0,0
__r8_g1cgDaiDn10cGeJ3Q,chinese,2.5,30.0,0
2PY9Fty_6QRpnZGIxo34eQ,chinese,2.5,32.0,0
y8Z9Tos6qtDVd0X0QVm70g,chinese,2.5,34.0,0
JFGHmvKmzW_TP6NjdvoWow,indian,2.5,35.0,0
TxaxeiUqQqcFrWrerNqgXw,chinese,2.5,38.0,0
wxinBSmutHlOpsSAWu-lOw,mexican,2.5,39.0,0
EL6Qg5LzrfhDFnF7MUfGLA,chinese,2.0,41.0,0
7_NCS8bQ8UA_nEANIWm-hQ,indian,2.5,41.0,0
8YEW9Skc7m_Fl-7crFzPyQ,indian,2.5,42.0,0
ATqzYWJLxhNlaXGjmHGNZQ,chinese,2.5,44.0,0
