Business_ID,Cuisine,Rating,Num_of_Reviews
C7CFAdrczXxNhnN-MNJqmw,chinese,4.0,649.0
6oQKDCJrgDffPKXPTPBXlA,chinese,3.5,70.0
gQ6DNeLNWQV-zwWyuFeBpg,chinese,3.0,150.0
kwqOmEwWJ0D9PyCdFGE3-g,chinese,4.0,648.0
97q5nUQTuBo_h00XCxna2A,chinese,4.0,1492.0
5rX_7IkvFx5MKqS3ikQe3Q,chinese,3.0,110.0
Dqu-5RxNbbpBsL1Ssht9Ng,chinese,4.0,162.0
A-ert0jDRBfku9ogyW_mEg,chinese,4.5,346.0
oJjMYhA6z1_BVaQpSdyl8g,chinese,4.0,143.0
oD0mN9vXuc1gFRyw1CG-Pw,chinese,4.0,22.0
kwGaeWUVC_MIxMFw0sM-Ww,chinese,4.0,43.0
olRNNJCJ2TJvPRmjBiOcGA,chinese,4.5,132.0
7ZQSMqWzvXMSetXnii2fBg,chinese,4.0,494.0
kBZggrnSP1kcUMnsnfkTaQ,chinese,4.0,3307.0
2rSmA4IK51QAQj60YGvjnw,chinese,4.5,19.0
lQ8Fzgji9qmgRXkFcvAsVQ,chinese,4.0,265.0
zdX9mwhoknXXYL1GCstnow,chinese,4.0,10.0
tA_AoGEL_oGllbU2j77Shw,chinese,4.5,167.0
Aux2Mp7bGnF3S6h60ab3iQ,chinese,4.0,37.0
2rqb2T5IS2D7A6UB5QwNKw,chinese,4.0,269.0
UNyGz06_7RendbswIyNYtA,chinese,3.5,149.0
YzyHW3w0HUyaG8EvplNT1A,chinese,4.5,326.0
Bb0h5Rs8ugSM2CjulRhfBw,chinese,4.5,76.0
kxv4jD_qXRPVrV0oPR7isQ,chinese,4.5,43.0
OWALknbRruLyO8KFPATf_Q,chinese,4.0,29.0
5FbVGhTO8U4wh0AATsN9tA,chinese,4.5,23.0
dRKdRpPEo6rJ2X0RYbfZzQ,chinese,4.0,75.0
neQM053ovAOrf1sVSAPI9w,chinese,4.0,816.0
u6Yrkowq8k5zBpClvjX2FA,chinese,4.0,34.0
wDuf4Qz9qsC62amLZgWNJQ,chinese,4.0,280.0
SBJHGtqJyfaU47NPjGAU6A,chinese,3.5,113.0
Bwj7nzWphGV6FaZ_ygTSOg,chinese,3.5,134.0
31K2IfTO2iQkgJ5hSY-Gbg,chinese,4.0,162.0
qGgQMVExGERqGhZNDM2ROg,chinese,3.5,485.0
OQ93Z1tAmdPqK7twEEvISA,chinese,3.5,22.0
H1jops1lmuhrq9lP7lEGJQ,chinese,4.0,1118.0
d6pcRMV1YUDFTKO_p9d-sA,chinese,4.5,62.0
IhSVn0TaX8xXb3wcQ-fgcA,chinese,4.0,2436.0
WIj12zDqIbBucW1hXYhrew,chinese,4.0,219.0
eVDV1ALwvre01Xo8v6BCoQ,chinese,4.0,138.0
DOa_Hm5HHT99GOvlhbydaQ,chinese,4.0,182.0
cWPdP8_GqEWxZKRiOonfDg,chinese,4.0,37.0
mDajKjZjRN4tVGEJFOgF9w,chinese,3.5,247.0
jwKPVep2qZYBUA6SLLQPvg,chinese,3.5,203.0
Va_mnsEvBghHXvc7uZIWJQ,chinese,4.0,553.0
5TnBfeoBpxPPwIXMGBMasg,chinese,4.0,69.0
pBNMZp_tKCAfRNx7-ybcHQ,chinese,4.5,384.0
Lp8vAE5nHSt5zbu-lSGK8A,chinese,4.0,279.0
lbZqfX4vvCr1aMLuEey3Ag,chinese,3.5,16.0
pMgk7E6bCG5Aj2sLuowobw,chinese,3.5,64.0
