Business_ID,Name,Address,Coordinates,Num_of_Reviews,Rating,Zip_Code
uL629uaGrH10UB5T5cKNeg,The Sanchez Luncheonette,38-01 Vernon Blvd,"{'latitude': 40.7591708970676, 'longitude': -73.944159316336}",3,5.0,11101
wAodpZGSqN8o9337E3Vikg,Paper Daisy,41 St Marks Pl,"{'latitude': 40.7285, 'longitude': -73.98707}",5,5.0,10003
FJepPR5CYRggxRwAjlqg6A,Bowery Road,132 4th Ave,"{'latitude': 40.7333427, 'longitude': -73.9901924}",161,4.5,10003
8wMJdpw2R_4VfS55itB_gQ,Sweetwater Restaurant,105 N 6th St,"{'latitude': 40.7184736, 'longitude': -73.9600178}",329,4.0,11249
7qtIemPU3LlNix8CVWdhwA,Clancey,79 Clinton St,"{'latitude': 40.7190299, 'longitude': -73.98521}",141,4.5,10002
Li52Rr6BM4bGNYdpn7H8_w,Cooper's Craft & Kitchen,169 8th Ave,"{'latitude': 40.742702, 'longitude': -74.000778}",361,4.0,10011
1JE0wPwtsY7hqbJLbu6FbQ,The Five Lamps,1586 York Ave,"{'latitude': 40.77425, 'longitude': -73.94812}",10,4.5,10028
b3x1ORxAm9Wr5108EEe6mA,Sister Jane NYC,349 E 13th St,"{'latitude': 40.73092, 'longitude': -73.98335}",50,4.5,10003
SaYTVG7wHCMDBofHCgXPaA,Dutch Freds,307 W 47th St,"{'latitude': 40.76071, 'longitude': -73.98793}",1192,4.5,10036
t-tx9YJhKHZrzIn4DKziuQ,983-Bushwick's Living Room,983 Flushing Ave,"{'latitude': 40.703087, 'longitude': -73.933403}",372,4.0,11206
2A2DCuV8cuoUoT3Kt2XTcg,Minnie's,29 Clinton St,"{'latitude': 40.72045, 'longitude': -73.98448}",112,4.0,10002
6hw4ibsutVoMl_RK0aAJ7Q,The Black Derby,310 W 4th St,"{'latitude': 40.737266, 'longitude': -74.00399}",154,4.5,10014
Oq1mej1BYfjcdPKkM_5o8g,High Street On Hudson,637 Hudson St,"{'latitude': 40.73888, 'longitude': -74.00574}",370,4.0,10014
FxswnvW4Fat6dFYcQNaE7Q,Hall,17 W 20th St,"{'latitude': 40.74032, 'longitude': -73.99223}",12,4.5,10011
w4cFJhUpjGXqqWBd3BbY4w,Freemans,Freeman Alley,"{'latitude': 40.721988, 'longitude': -73.992466}",1968,4.0,10002
DDb_WRz8jPPHrTt5Fiu0og,The Hive,119 Kent Ave,"{'latitude': 40.7201725641173, 'longitude': -73.9617135105149}",78,4.5,11249
xkvv0n7jbl4Ra3Vm_jfxaA,Upland,345 Park Ave S,"{'latitude': 40.74171, 'longitude': -73.98503}",874,4.0,10010
zcPWqsiqaPpNh8nJXR4gpw,The Commodore,366 Metropolitan Ave,"{'latitude': 40.7138257110445, 'longitude': -73.9556050300598}",523,4.0,11211
hmdm-dO72hLsMQwQRcGEUQ,Atrium Dumbo,15 Main St,"{'latitude': 40.7033899, 'longitude': -73.9904923}",591,4.0,11201
TQnSNmqyQjG5rGXe6BDVYA,The Watershed,517 Court St,"{'latitude': 40.67503, 'longitude': -73.9991}",14,4.5,11231
VCqNjupCWZ5INzOcyBMJSg,The Grey Dog - Union Square,90 University Pl,"{'latitude': 40.733828, 'longitude': -73.993052}",974,4.0,10003
ohLIPmzTysowInbte9XhMw,The Malt House,9 Maiden Ln,"{'latitude': 40.709659, 'longitude': -74.009262}",433,4.0,10038
AA9wpuJRhkSHUePAiv3otA,Harwood on Hudson,430 Hudson St,"{'latitude': 40.73062, 'longitude': -74.00649}",37,4.5,10014
MNNpsRXe7Wt5m3Jla9Wk0w,The Alcove,41-11 49th St,"{'latitude': 40.7459065, 'longitude': -73.915103}",671,5.0,11104
v0vBSvG0hRPBoYyK6dlaAw,Emblem,187 Graham Ave,"{'latitude': 40.708429, 'longitude': -73.943698}",75,4.5,11206
AlStrNBqyH6WB9QGMEtcTw,Quality Eats,3 E 28th St,"{'latitude': 40.74451, 'longitude': -73.98661}",196,4.0,10016
mVN2G1c5bRtAsNlr2Tbx6Q,White Oak Tavern,21 Waverly Pl,"{'latitude': 40.730379, 'longitude': -73.99462}",300,4.0,10003
rU9cKxAVU4Gd_JhAqp_bTA,Buttermilk Channel,524 Court St,"{'latitude': 40.675919, 'longitude': -73.999059}",1807,4.0,11231
Bdneg2FELG-GNQnc-zq1YA,Kāwi,20 Hudson Yards,"{'latitude': 40.7491302490234, 'longitude': -73.9923629760742}",16,4.0,10001
fanlKZzN-fI9LywqQD6EHg,Broadstone Bar & Kitchen,88 Broad St,"{'latitude': 40.70411, 'longitude': -74.01186}",186,4.0,10004
7Bb_IDWV_zJqpBjAvxuBIA,Cooper's Craft & Kitchen,87 2nd Ave,"{'latitude': 40.72704, 'longitude': -73.9892}",412,4.0,10003
6gzQLjzJk25ePm_JS7ZAug,Esme,999 Manhattan Ave,"{'latitude': 40.7332033928175, 'longitude': -73.9549667724914}",300,4.5,11222
GA5msU6NO9rQRctPfDJCBg,Peaches HotHouse,415 Tompkins Ave,"{'latitude': 40.6833699737169, 'longitude': -73.9437798410654}",1039,4.0,11216
M2wnfA4K3DVwuAv0DCPTdQ,Covina,127 E 27th St,"{'latitude': 40.7423054, 'longitude': -73.9832149}",297,4.5,10016
RfxOtJ4SQmEeVX_XjFLWUQ,Otis,18 Harrison Pl,"{'latitude': 40.706011, 'longitude': -73.932598}",163,5.0,11206
DOdamkEm9JWR9s6VH_NuOQ,Mayfield,688 Franklin Ave,"{'latitude': 40.6748580932617, 'longitude': -73.9565734863281}",494,4.0,11238
fEig4z0y_qCMRLvW7HRuqA,Harding's,32 E 21st St,"{'latitude': 40.7393229, 'longitude': -73.9887163}",339,4.0,10010
KkAtVVjnMfb1vGlcpzmhgw,Sweet Brooklyn Bar And Grill,608 Nostrand Ave,"{'latitude': 40.6778662988215, 'longitude': -73.9500002190471}",281,4.0,11216
qMHzIYzoHYe55I7L65iEQw,Foragers Table,233 8th Ave,"{'latitude': 40.744541, 'longitude': -73.9990926}",511,4.0,10011
eTR6nfHvQzvKX7Dcd6JrfA,District Social,252 W 37th St,"{'latitude': 40.75369, 'longitude': -73.99136}",561,4.0,10018
hK14kghcSPkljAqzEHNemA,Sugarburg,519 Metropolitan Ave,"{'latitude': 40.7141182158499, 'longitude': -73.9516061916947}",282,4.5,11211
9kCcNKe7z9GZFU3NhkoExA,Julia's,818 Woodward Ave,"{'latitude': 40.703143, 'longitude': -73.902956}",183,4.5,11385
txSykTj5nbwmpiVNoK_Dyg,Blue Ribbon Brasserie - SoHo,97 Sullivan St,"{'latitude': 40.725456, 'longitude': -74.003027}",895,4.5,10012
6Guo-aozyLnQFtAuP8ZXZg,Queens Comfort,3618 30th Ave,"{'latitude': 40.764561, 'longitude': -73.916839}",1989,4.0,11103
c1kKAH9XMPNeaBhvnIP0FQ,Trinity Place,115 Broadway,"{'latitude': 40.708865, 'longitude': -74.01117}",332,4.0,10006
KfGUOaZobIxU5zVzLdgvdA,Nickel & Diner,1 Howard St,"{'latitude': 40.7189312923323, 'longitude': -73.9994524691619}",363,4.0,10013
OiSjFh06dsNonI0cPXMSOw,Bondurants,303 E 85th St,"{'latitude': 40.777292, 'longitude': -73.951854}",449,4.0,10028
Kgf2O5qRqSpPv8E346J8jQ,Prospect Bar & Grill,545 5th Ave,"{'latitude': 40.665832, 'longitude': -73.988916}",140,4.0,11215
mhr7JHHBlptUxU7pjif5lA,Rose Water,787 Union St,"{'latitude': 40.67565, 'longitude': -73.97813}",634,4.0,11215
DyPK6IyY-8xIqQWT4HqJNw,Gristmill,289 5th Ave,"{'latitude': 40.6736889031443, 'longitude': -73.9824806441803}",218,4.5,11215
3XMYQTqA3ZUliZ1Lw-9Bmg,Sapoara Wood Roasting Grill & Bar,2262 1st Ave,"{'latitude': 40.79615, 'longitude': -73.93495}",46,4.0,10035
MDvdfZUvfeH2ItC8cYcHWw,Shake Shack,20 Hudson Yards,"{'latitude': 40.7491302490234, 'longitude': -73.9923629760742}",6,4.5,10001
qYuWyqWH5zfKJfJ6obuh4g,Eastfield's Kitchen & Bar,1479 York Ave,"{'latitude': 40.7709264508638, 'longitude': -73.950938590508}",170,4.0,10075
oW25x1w-Zv6CmprrT_R4Hw,Craft Culture,59-04 Myrtle Ave,"{'latitude': 40.7004551589489, 'longitude': -73.8999652862549}",38,5.0,11385
oXnJEg_AScyrR1lO4dnAfw,The Wheelhouse,165 Wilson Ave,"{'latitude': 40.700122, 'longitude': -73.924188}",246,4.0,11237
1LIptXhtDh58vAA-QPFL4w,Cask Bar & Kitchen,167 E 33rd St,"{'latitude': 40.745414, 'longitude': -73.979004}",1291,4.0,10016
iigqtLntqUS18cXmEXofIQ,The Lowery Bar & Kitchen,43-02 43rd Ave,"{'latitude': 40.7451454550028, 'longitude': -73.9208489656448}",202,4.5,11104
um3_ljrrt23ucnqPA5sfKg,Supper Room,38-17 Bell Blvd,"{'latitude': 40.7660828, 'longitude': -73.7720958}",8,5.0,11361
ZQ-dG0tuqniCmfJ2mptRpQ,Blue Ribbon Federal Grill,84 William St,"{'latitude': 40.70803, 'longitude': -74.00785}",74,4.0,10038
uYLIo8FCr9Ug5SFORDdsPA,The Burgary,67 Clinton St,"{'latitude': 40.7193370804105, 'longitude': -73.9850228946549}",203,4.5,10002
ePqKbqXFBCbwBaWiN2Jo9w,Ampersand,294 3rd Ave,"{'latitude': 40.7386178790617, 'longitude': -73.9834206895483}",189,4.5,10010
9AXTJkwXdWaJaQkCjpj6mA,Sunday in Brooklyn,348 Wythe Ave,"{'latitude': 40.714145, 'longitude': -73.965322}",538,4.0,11249
4sC7DjOqRsrvt62ePpdQrQ,My Friend Duke,383 3rd Ave,"{'latitude': 40.74157, 'longitude': -73.98093}",26,5.0,10016
J3NT61-AH5d5Gu5tFJhYSw,The Cabin NYC,205 E 4th St,"{'latitude': 40.72393, 'longitude': -73.98383}",48,4.0,10009
nw5_0jb_u2a6nUt4Je09Xg,Casa Del Chef,39-06 64th St,"{'latitude': 40.7462089684205, 'longitude': -73.8999964166707}",197,4.5,11377
Me4TxTbPPQZQopW1wOGx5g,Jack's Wife Freda,224 Lafayette St,"{'latitude': 40.72213, 'longitude': -73.99756}",1719,4.0,10012
MyQV4i518ZO4CLudtR8gLA,The Bar Room,117 E 60th St,"{'latitude': 40.763409, 'longitude': -73.968449}",468,4.0,10022
Ps0cOZevNA1M9M5_z7W3oQ,Joseph Leonard,170 Waverly Pl,"{'latitude': 40.7336021670705, 'longitude': -74.001675412843}",629,4.0,10014
fVbUVAiLiGgLA_nxBFxyww,Thursday Kitchen,424 E 9th St,"{'latitude': 40.7275, 'longitude': -73.9838}",1130,4.5,10009
moaPtBNbQ5VNu2Z0ilCVGQ,Walter's,166 DeKalb Ave,"{'latitude': 40.6894111633301, 'longitude': -73.973258972168}",484,4.0,11217
RemvTpxalDjSew5HwmNzUQ,The Dead Rabbit,30 Water St,"{'latitude': 40.70329, 'longitude': -74.01102}",1397,4.0,10004
Hv5v8y3fvu6PjPiFf4jPVQ,Trading Post,170 John St,"{'latitude': 40.7059604, 'longitude': -74.0041871}",374,4.0,10038
_du3ilTsbLqBmEY-ZyfqxA,Van Da,234 E 4th St,"{'latitude': 40.72341, 'longitude': -73.98307}",9,5.0,10009
xhlNNlVl3bXQQfv8agYVnw,The Douglass Public House,149 4th Ave,"{'latitude': 40.67929, 'longitude': -73.98137}",125,4.5,11217
IZw7SfYpvXMFLErXBMDKVQ,Stone Park Cafe,324 5th Ave,"{'latitude': 40.67297, 'longitude': -73.98332}",871,4.0,11215
QNYqjEyw9xEYRzzQ0OLCSA,Gus' American Grill,7206 New Utrecht Ave,"{'latitude': 40.61811, 'longitude': -73.99962}",65,4.0,11228
u-MUL83NUy2gsbV80WZnAA,The Marshal,628 10th Ave,"{'latitude': 40.76122, 'longitude': -73.99396}",688,4.0,10036
dkAj-3gmkvdA4XkJmw6hCw,Juanchi's Burger,225 S 1st St,"{'latitude': 40.713003, 'longitude': -73.958863}",285,4.5,11211
DRitJoNGTkHXZvH_YpLIAw,Marc Forgione,134 Reade St,"{'latitude': 40.71647, 'longitude': -74.0095599}",887,4.0,10013
yDKChr-KX1Q1TbxUjaQJ_g,The Spotted Dog,1154 1st Ave,"{'latitude': 40.7623521711694, 'longitude': -73.9597779041227}",100,4.0,10065
shTLI1GCcZ9rosFdt8d2Xg,Purbird,82 Sixth Ave,"{'latitude': 40.67985, 'longitude': -73.97518}",449,4.0,11217
5QfE9v_IfCgAezqnHNzHWg,The Buren,1223 Broadway,"{'latitude': 40.69196, 'longitude': -73.92608}",19,3.5,11221
1Q3oaJahyGRogDWgpo7PIw,Five Leaves,18 Bedford Ave,"{'latitude': 40.72371830945, 'longitude': -73.95159863632}",1510,4.0,11222
MfbVI5reXLIIs8Cc2HwgQw,Breakroom,83 Baxter St,"{'latitude': 40.7166907225542, 'longitude': -73.9999440120647}",1495,4.5,10013
PYcL2z9gHj6-ZTlViT9Nqw,Minetta Tavern,113 Macdougal St,"{'latitude': 40.7300047976758, 'longitude': -74.0006073834151}",2080,4.0,10012
_Xl_MwD9OPSGX5Qq2Wr7Ug,One Lenox,1113 1st Ave,"{'latitude': 40.76106, 'longitude': -73.96124}",44,4.5,10065
5xI0Z0nqbaR-0FnPzg6VZg,Crescent Grill,38-40 Crescent St,"{'latitude': 40.7549308, 'longitude': -73.9367746}",285,4.5,11101
51_f1MyuRFpEIpzb57YmEA,Hendriks,557 3rd Ave,"{'latitude': 40.747395, 'longitude': -73.97649}",350,4.0,10016
qLLxS7RwNEjP_jq_KQrPfA,Traif,229 S 4th St,"{'latitude': 40.710658, 'longitude': -73.958872}",1809,4.5,11211
mHBhUxHgDGjsB1LJl4qW0w,Hillstone Restaurant,153 E 53rd St,"{'latitude': 40.7582412110122, 'longitude': -73.9688767764436}",1024,4.0,10022
3idAtiEXe_XfTcPoZC_DcQ,Westville - East,173 Ave A,"{'latitude': 40.72847, 'longitude': -73.98213}",1003,4.0,10009
UF9F0A4e7AJHzNPG5zrHUQ,The Beast Next Door,42-51 27th St,"{'latitude': 40.74881, 'longitude': -73.94073}",161,4.5,11101
veq1Bl1DW3UWMekZJUsG1Q,Gramercy Tavern,42 E 20th St,"{'latitude': 40.738527, 'longitude': -73.988417}",2725,4.5,10003
P7yE1T1TDFIiYgLdEYR3Gw,Bill's Townhouse,57 E 54th St,"{'latitude': 40.7602615356445, 'longitude': -73.9729461669922}",84,4.5,10022
J5y7oRfiGtxFDkYGKxFZkw,Anella,222 Franklin St,"{'latitude': 40.73327, 'longitude': -73.95786}",389,4.0,11222
4PeBRQZgHMW80J5YIaT39A,The Loyal,289 Bleecker St,"{'latitude': 40.7321627859791, 'longitude': -74.0033025943349}",148,4.0,10014
yZs_A8r0qDz7Z5bR0C-aiQ,Black Tap Craft Burger & Beers,136 W 55th St,"{'latitude': 40.76347, 'longitude': -73.97978}",874,4.0,10019
D1jp3pfGvyYyaXBN8iJRBg,The Farm On Adderley,1108 Cortelyou Rd,"{'latitude': 40.63965, 'longitude': -73.96754}",1108,4.0,11218
FBB7VTxx3gwsXwEUNRt6lg,TAK Room,20 Hudson Yards,"{'latitude': 40.7491302490234, 'longitude': -73.9923629760742}",5,4.5,10001
nm5rcWNmfevNXLNQAITi5w,Clinton Hall,90 Washington St,"{'latitude': 40.70803, 'longitude': -74.014869}",552,4.0,10006
F3kbLGkAc9pNn8O_AElzbg,The Westbury Inn,673 Flatbush Ave,"{'latitude': 40.6568219822565, 'longitude': -73.9599666371942}",72,4.0,11225
W0sXHSSpkiMEDJiBmSLNYQ,Trestle,34-02 Broadway,"{'latitude': 40.7606154, 'longitude': -73.9229562}",248,4.0,11106
JXcYD52B4190gIh6_RSXCg,Lilly's Craft and Kitchen,675 9th Ave,"{'latitude': 40.76138, 'longitude': -73.99071}",743,4.5,10036
iNiq1vgWpEa48jlPAce8wQ,The Thirsty Koala,35-12 Ditmars Blvd,"{'latitude': 40.774416, 'longitude': -73.908739}",1005,4.5,11105
QwFHexh9Kt1mUkE77Hd_Iw,Melt Shop,135 4th Ave,"{'latitude': 40.73335883, 'longitude': -73.98980717}",4,4.5,10003
JEuIdK9hzci9g_TuwfnZ_w,Society Cafe,52 W 13th St,"{'latitude': 40.73624, 'longitude': -73.99658}",126,4.0,10011
Phi_yESeDQJduuMDdwX4ZA,Slane,384 3rd Ave,"{'latitude': 40.74176, 'longitude': -73.98123}",452,4.0,10016
w5B0FmQoEOoeURoFuguh0w,The Brew Inn,924 Manhattan Ave,"{'latitude': 40.731044, 'longitude': -73.954101}",134,4.0,11222
yoPMDATGXh_8NR7I0SW1gw,Manhattan Proper,6 Murray St,"{'latitude': 40.713341940631, 'longitude': -74.0080507346}",305,4.0,10007
VnnuUGARPaTevTIIApWWVw,The Sweet Sap,189-11 Northern Blvd,"{'latitude': 40.7578205497777, 'longitude': -73.7917962842939}",167,4.0,11358
veku2cg2qaV-7MxwhOMBmg,Judge Roy Bean Public House,38 W 56th St,"{'latitude': 40.7629158108786, 'longitude': -73.9761248066812}",624,4.5,10019
8FvdmDeaE74iYtslwNPITg,Lot 2,687 6th Ave,"{'latitude': 40.6605911254883, 'longitude': -73.9903106689453}",251,4.5,11215
eyPLPYE1gttc34MLKSmvPw,Peggy Dempseys,6414 Flushing Ave,"{'latitude': 40.7227683, 'longitude': -73.9009193}",21,4.0,11378
GxMhN2PEttvw7CRGIzB6Gg,Baron's,564 Dekalb Ave,"{'latitude': 40.6908116, 'longitude': -73.953915}",233,4.5,11205
xhuDOqY9G5mPuSqBnMCaYw,Henry's End,44 Henry St,"{'latitude': 40.699699, 'longitude': -73.992164}",335,4.0,11201
6tT1Ydr_769Rk3TmO07zwA,Carl's Jr,500 Clarkson Ave,"{'latitude': 40.65574, 'longitude': -73.94281}",6,3.5,11203
V_6vz43QxigVJS-afdbtoQ,Union Bar & Kitchen,300 Spring St,"{'latitude': 40.72572, 'longitude': -74.00798}",321,4.0,10013
F-AfJgFrxNbn49Mp4l7aXg,Hollow Nickel,494 Atlantic Ave,"{'latitude': 40.685512, 'longitude': -73.981986}",201,4.0,11217
1ExwosnCMtb7D3SF5ovo6w,The Pomeroy,36-12 Ditmars Blvd,"{'latitude': 40.7739, 'longitude': -73.908}",211,4.0,11105
t3I27_5vj_NA2COPSWg66g,Industry 1332,1332 Halsey St,"{'latitude': 40.694676, 'longitude': -73.906246}",230,4.0,11237
pNYcGGAj4AYaExlmrEmfUw,Harry's,1 Hanover Sq,"{'latitude': 40.704512, 'longitude': -74.009834}",641,4.0,10004
7NFnAxUjfiYg8QrGsjMJKw,Amused,142 W 83rd St,"{'latitude': 40.7850341796875, 'longitude': -73.9754409790039}",31,4.5,10024
Py_oBQpNR8kMI3GbH-71Yg,Ltauha Restaurant,55-50 Myrtle Ave,"{'latitude': 40.6998889, 'longitude': -73.9067463}",340,4.5,11385
Orbsfc3nI21mQ8cwSPahhg,The Four Horsemen,295 Grand St,"{'latitude': 40.71305, 'longitude': -73.95732}",151,4.5,11211
Cz6It2NB_QBXCjnlsWGZSA,Boulton & Watt,5 Ave A,"{'latitude': 40.7224963, 'longitude': -73.986439}",645,4.0,10009
ypqK8DWM8Bcs43YveSJnNw,Manhatta,28 Liberty St,"{'latitude': 40.70797, 'longitude': -74.0088899}",211,4.5,10005
xI0H0K1MAq1U6NTp1xFreA,Midnights,149 N 6th St,"{'latitude': 40.71748, 'longitude': -73.95843}",198,4.0,11249
S1dsXbNk1NRy71eIhm1TmA,Sunshine,780 Washington Ave,"{'latitude': 40.6746035, 'longitude': -73.9631644}",316,4.0,11238
0IwdwNnbro5RLLIlaxyfpQ,The Wilson,132 W 27th St,"{'latitude': 40.74587, 'longitude': -73.99265}",71,4.5,10001
0BzxIsoRuFvxbMPl-iH70A,Market Table,54 Carmine St,"{'latitude': 40.7297659255873, 'longitude': -74.0037665277862}",774,4.0,10014
WDCA17TmVOAMWgMLHc2E6Q,Bo's Kitchen & Bar Room,6 W 24th St,"{'latitude': 40.7426259948421, 'longitude': -73.9902863558197}",326,4.0,10010
r-EDS_eO70HUgDmOk5_8Qw,Juniper Bar,237 W 35th St,"{'latitude': 40.7522805974308, 'longitude': -73.9916151018524}",481,4.0,10001
dsTAUtR3bRMFIKJpAJk1Jw,The Sparrow Tavern,24-01 29th St,"{'latitude': 40.772731, 'longitude': -73.916496}",553,4.0,11102
00jHmlu0elBhzBsw7Y5pww,Jack & Nellie's,10825 Ascan Ave,"{'latitude': 40.7178794, 'longitude': -73.8410497}",625,4.0,11375
FST41XVNfiBgJHkutII-3w,American Retro,714 11th Ave,"{'latitude': 40.76618, 'longitude': -73.99409}",201,4.0,10019
AawLwOYZwMf_9wkShExfuw,Sanfords Astoria,30-13 Broadway,"{'latitude': 40.7623, 'longitude': -73.92555}",721,4.0,11106
