Business_ID,Name,Address,Coordinates,Num_of_Reviews,Rating,Zip_Code
YIwYw_A_LRwK66HBTzogYQ,Xing's Chef,46-20 Ditmars Blvd,"{'latitude': 40.7701092079077, 'longitude': -73.9021204913637}",76,4,11105
lSrdxUNxyMgh5YU903JUiw,Ningbo Cafe,21 S End Ave,"{'latitude': 40.70814, 'longitude': -74.01779}",132,4,10280
k8GFfCXO2FIIJIo0ICYSRA,Bao Bao Cafe,106 Greenwich St,"{'latitude': 40.70854, 'longitude': -74.01367}",104,4,10006
Gd3_3mxOvj2xYiqysV8rbQ,Xi'an Famous Foods,81 St Marks Pl,"{'latitude': 40.7279, 'longitude': -73.98541}",1552,4,10003
BPErPpKSNluwcjbKRgze3w,Xi'an Famous Foods,328 E 78th St,"{'latitude': 40.77197, 'longitude': -73.95452}",457,4,10075
AJKcsxpc9IthvhdEnfqogg,Good Chinese Restaurant,663 Knickerbocker Ave,"{'latitude': 40.6951122106303, 'longitude': -73.9116479761463}",108,3.5,11221
Q1TpfbuPwKPFrNFyu-u2_g,Han Dynasty,1 Dekalb Ave,"{'latitude': 40.6911319610036, 'longitude': -73.9825977757573}",187,4,11201
MzA6gitJKqfW4VrdS7AiQw,PACIFIC MOON,59-02 Broadway,"{'latitude': 40.75119, 'longitude': -73.90269}",58,4.5,11377
9-vKFnUby_6-pR6UJxjzMw,Sun Hing Lung Co,58 Henry St,"{'latitude': 40.71275, 'longitude': -73.99508}",160,4.5,10002
tsTGTBrz2TqrYRgdr6vEJQ,C And Y Chinese,399 5th Ave,"{'latitude': 40.67042, 'longitude': -73.98496}",46,4,11215
jc7lVTvmYMIK5RNpENtS6w,Szechuan Mountain House,23 St Marks Pl,"{'latitude': 40.72911, 'longitude': -73.98858}",219,4,10003
Lbs8QBRN1U7IYBo5Mcv-RQ,88 Lan Zhou Handmade Noodle,40 Bowery St,"{'latitude': 40.7155, 'longitude': -73.99675}",1630,4,10013
iSjPBJRiWqrgxW7ZM3CGig,Birds of a Feather,191 Grand St,"{'latitude': 40.71442, 'longitude': -73.960441}",247,4,11211
l44CFBTejwL0ElKmkH7xQQ,Decoy,529 Hudson St,"{'latitude': 40.734196, 'longitude': -74.006519}",370,4,10014
oowNI_aUmGEFa_VW8BFgRg,Tri Dim Shanghai,1378 3rd Ave,"{'latitude': 40.77395, 'longitude': -73.95793}",270,4,10075
w3wKbjuNCZnYoPOr-FCk5w,New Moon,536 3rd Ave,"{'latitude': 40.74692, 'longitude': -73.97766}",84,4,10016
DpfE0gPBXj-aj2pnEh4E2Q,Wei Williamsburg,145 Borinquen Pl,"{'latitude': 40.7107868, 'longitude': -73.9542168}",123,3.5,11211
mUl0wtO7tPkBocuJqZ-7Dw,Dun Huang -  Grand Central,320 Lexington Ave,"{'latitude': 40.74922, 'longitude': -73.97785}",89,4.5,10016
R7EGjHWw0tNheY6-ahH8fQ,Tuome,536 E 5th St,"{'latitude': 40.72412482724, 'longitude': -73.9828906263924}",407,4.5,10009
83ZcxzvtHX2PmsH_wPReOw,Grand Sichuan House,8701 5th Ave,"{'latitude': 40.62075, 'longitude': -74.02668}",224,4,11209
M-odQWSEfsR2mVEw7nKG-g,Nyonya,199 Grand St,"{'latitude': 40.7190148, 'longitude': -73.9968228}",1936,4,10013
0vg2Z-HPwkyVVX613j2ysg,Peng's Noodle Folk,1659 1st Ave,"{'latitude': 40.77726, 'longitude': -73.94932}",362,4.5,10028
scTDvJ2M2jDbb1ntVeIyxA,Hao Noodle and Tea By Madam Zhu's Kitchen,401 6th Ave,"{'latitude': 40.7334863190479, 'longitude': -73.9998929006093}",548,4,10014
bnDfFdiCcPzhuNWUJORvLQ,Noodle Village,13 Mott St,"{'latitude': 40.714167, 'longitude': -73.998803}",932,4,10013
1fVp9c5Vw04ig171a_juRw,U Like,602 Marcy Ave,"{'latitude': 40.694007, 'longitude': -73.949259}",40,4.5,11206
vWEKZVPIYFewfqCOkkvVIQ,Lin's Garden,652 Seneca Ave,"{'latitude': 40.7034531, 'longitude': -73.9090729}",39,4,11385
SNhDVaf_n7VDZcfry8mYdA,The Bao,13 St Marks Pl,"{'latitude': 40.72939, 'longitude': -73.9889199}",1023,3.5,10003
8ig0yf0003DAp4YOGTlbVg,Spicy Village,68 Forsyth St,"{'latitude': 40.71695, 'longitude': -73.99327}",579,4,10002
X4hEgOBOLTYFhlWO-gAFxQ,Tipsy Shanghai,228 Thompson St,"{'latitude': 40.72929, 'longitude': -73.99882}",89,4,10012
YvMLbSK_tWmaOjYGwOUd5Q,Xi’an Famous Foods,8 Liberty Pl,"{'latitude': 40.709193, 'longitude': -74.009347}",43,4,10038
nI1UYDCYUTt23TpGxqnLKg,Buddakan,75 9th Ave,"{'latitude': 40.7422762672197, 'longitude': -74.0048000961542}",3726,4,10011
AfF4zVbVI27zwgkzOLYDFg,Xi'an Famous Foods,648 Manhattan Ave,"{'latitude': 40.7243301734731, 'longitude': -73.9509299397469}",200,4,11222
